40834,M,0,31688
40834,MM,0,738
40834,F,2,1116608
40835,V,0,0
40835,M,0,29471
40835,MM,0,738
40835,F,2,1116608
40836,V,0,0
40836,M,0,27408
40836,MM,0,738
40836,F,2,1116608
40837,V,0,0
40837,M,0,25196
40837,MM,0,2767
40837,F,2,1152042
40838,V,0,0
40838,M,0,23034
40838,MM,0,4516
40838,F,2,1150293
40839,V,0,0
40839,M,0,20863
40839,MM,0,7377
40839,F,2,1147432
40840,V,0,0
40840,M,0,18727
40840,MM,0,9612
40840,F,2,1145197
40841,V,0,0
40841,M,0,16555
40841,MM,0,11680
40841,F,2,1143129
40842,V,0,0
40842,M,0,14465
40842,MM,0,13302
40842,F,2,1141507
40843,V,0,0
40843,M,0,12380
40843,MM,0,15145
40843,F,2,1139664
40844,V,0,0
40844,M,0,10297
40844,MM,0,16400
40844,F,2,1138409
40845,V,0,0
40845,M,0,8131
40845,MM,0,20429
40845,F,2,1134380
40846,V,0,0
40846,M,0,6126
40846,MM,0,23532
40846,F,2,1131277
40847,V,0,0
40847,M,0,4074
40847,MM,0,25952
40847,F,3,1128857
40848,V,0,4074
40848,M,0,0
40848,MM,0,26885
40848,F,3,1127924
40849,V,0,4074
40849,M,0,0
40849,MM,0,28139
40849,F,3,1126670
40850,V,0,4074
40850,M,0,0
40850,MM,0,29669
40850,F,3,1125140
40851,V,0,4074
40851,M,0,0
40851,MM,0,31090
40851,F,3,1123719
40852,V,0,4074
40852,M,0,0
40852,MM,0,32648
40852,F,3,1122161
40853,V,0,4074
40853,M,0,0
40853,MM,0,33696
40853,F,3,1121113
40854,V,0,4074
40854,M,0,0
40854,MM,0,35972
40854,F,3,1118837
40855,V,0,0
40855,M,0,39995
40855,MM,0,51
40855,F,4,1118837
40856,V,0,0
40856,M,0,37697
40856,MM,0,51
40856,F,4,1118837
40857,V,0,0
40857,M,0,35545
40857,MM,0,51
40857,F,4,1118837
40858,V,0,0
40858,M,0,33331
40858,MM,0,51
40858,F,5,1118837
40859,V,0,0
40859,M,0,31138
40859,MM,0,51
40859,F,5,1118837
40860,V,0,0
40860,M,0,28875
40860,MM,0,51
40860,F,5,1118837
40861,V,0,0
40861,M,0,26607
40861,MM,0,1749
40861,F,5,1169295
40862,V,0,0
40862,M,0,24356
40862,MM,0,3769
40862,F,5,1167275
40863,V,0,0
40863,M,0,22155
40863,MM,0,4760
40863,F,5,1166284
40864,V,0,0
40864,M,0,19933
40864,MM,0,7021
40864,F,6,1164023
40865,V,0,0
40865,M,0,17761
40865,MM,0,10060
40865,F,6,1160984
40866,V,0,0
40866,M,0,15483
40866,MM,0,10908
40866,F,6,1160136
40867,V,0,0
40867,M,0,13289
40867,MM,0,12942
40867,F,6,1158102
40868,V,0,0
40868,M,0,11125
40868,MM,0,15157
40868,F,7,1155887
40869,V,0,0
40869,M,0,8978
40869,MM,0,17057
40869,F,8,1153987
40870,V,0,0
40870,M,0,6815
40870,MM,0,18072
40870,F,8,1152972
40871,V,0,0
40871,M,0,4801
40871,MM,0,19290
40871,F,9,1151754
40872,V,0,4801
40872,M,0,0
40872,MM,0,21290
40872,F,9,1149754
40873,V,0,4801
40873,M,0,0
40873,MM,0,23598
40873,F,10,1147446
40874,V,0,4801
40874,M,0,0
40874,MM,0,25989
40874,F,10,1145055
40875,V,0,4801
40875,M,0,0
40875,MM,0,29800
40875,F,10,1141244
40876,V,0,4801
40876,M,0,0
40876,MM,0,30903
40876,F,9,1140141
40877,V,0,4801
40877,M,0,0
40877,MM,0,33254
40877,F,9,1137790
40878,V,0,4801
40878,M,0,0
40878,MM,0,36793
40878,F,9,1134251
40879,V,0,0
