40881,MM,0
40881,F,1134251
40882,V,0
40882,M,34707
40882,MM,0
40882,F,1134251
40883,V,0
40883,M,32474
40883,MM,0
40883,F,1134251
40884,V,0
40884,M,30136
40884,MM,0
40884,F,1134251
40885,V,0
40885,M,27816
40885,MM,2565
40885,F,1166994
40886,V,0
40886,M,25358
40886,MM,4599
40886,F,1164960
40887,V,0
40887,M,22915
40887,MM,6947
40887,F,1162612
40888,V,0
40888,M,20623
40888,MM,9575
40888,F,1159984
40889,V,0
40889,M,18333
40889,MM,11425
40889,F,1158134
40890,V,0
40890,M,16036
40890,MM,14588
40890,F,1154971
40891,V,0
40891,M,13568
40891,MM,18369
40891,F,1151190
40892,V,0
40892,M,11232
40892,MM,20724
40892,F,1148835
40893,V,0
40893,M,8922
40893,MM,21437
40893,F,1148122
40894,V,0
40894,M,6693
40894,MM,24957
40894,F,1144602
40895,V,0
40895,M,4565
40895,MM,26553
40895,F,1143006
40896,V,4565
40896,M,0
40896,MM,29236
40896,F,1140323
40897,V,4565
40897,M,0
40897,MM,31823
40897,F,1137736
40898,V,4565
40898,M,0
40898,MM,33764
40898,F,1135795
40899,V,4565
40899,M,0
40899,MM,36274
40899,F,1133285
40900,V,4565
40900,M,0
40900,MM,37497
40900,F,1132062
40901,V,4565
40901,M,0
40901,MM,38996
40901,F,1130563
40902,V,4565
40902,M,0
40902,MM,41823
40902,F,1127736
40903,V,0
40903,M,45912
40903,MM,476
40903,F,1127736
40904,V,0
40904,M,43342
40904,MM,476
40904,F,1127736
40905,V,0
40905,M,40762
40905,MM,476
40905,F,1127736
40906,V,0
40906,M,38206
40906,MM,476
40906,F,1127736
40907,V,0
40907,M,35634
40907,MM,476
40907,F,1127736
40908,V,0
40908,M,33079
40908,MM,476
40908,F,1127736
40909,V,0
40909,M,30433
40909,MM,3639
40909,F,1159029
40910,V,0
40910,M,27792
40910,MM,5578
40910,F,1157090
40911,V,0
40911,M,25233
40911,MM,7651
40911,F,1155017
40912,V,0
40912,M,22704
40912,MM,9748
40912,F,1152920
40913,V,0
40913,M,20197
40913,MM,12088
40913,F,1150580
40914,V,0
40914,M,17556
40914,MM,13697
40914,F,1148971
40915,V,0
